Name,Price,Discount,Link
Mainframe Defenders,$0.89,-85%,https://www.gog.com/en/game/mainframe_defenders
Darkest Dungeon®,$3.74,-85%,https://www.gog.com/en/game/darkest_dungeon
Firewatch,$4.99,-75%,https://www.gog.com/en/game/firewatch
Heroes of Might and Magic® 3: Complete,$9.99,0%,https://www.gog.com/en/game/heroes_of_might_and_magic_3_complete_edition
Diablo + Hellfire,$9.99,0%,https://www.gog.com/en/game/diablo
Slay the Spire,$8.49,-66%,https://www.gog.com/en/game/slay_the_spire
Warhammer: Mark of Chaos - Gold Edition,$9.99,0%,https://www.gog.com/en/game/warhammer_mark_of_chaos_gold_edition
Darkest Dungeon®: The Color Of Madness,$1.49,-70%,https://www.gog.com/en/game/darkest_dungeon_the_color_of_madness
Darkest Dungeon®: The Shieldbreaker,$1.19,-70%,https://www.gog.com/en/game/darkest_dungeon_the_shieldbreaker
Deadly Premonition: Director's Cut,$2.49,-90%,https://www.gog.com/en/game/deadly_premonition_directors_cut
Fahrenheit (Indigo Prophecy),$1.49,-75%,https://www.gog.com/en/game/fahrenheit_indigo_prophecy
Warhammer: Chaosbane Slayer Edition,$39.99,0%,https://www.gog.com/en/game/warhammer_chaosbane_slayer_edition
Darkest Dungeon®: The Crimson Court,$2.99,-70%,https://www.gog.com/en/game/darkest_dungeon_the_crimson_court
Empire Earth Gold Edition,$5.99,0%,https://www.gog.com/en/game/empire_earth_gold_edition
RimWorld,$27.99,-20%,https://www.gog.com/en/game/rimworld
GRIS,$4.24,-75%,https://www.gog.com/en/game/gris
The Silent Age,$1.99,-80%,https://www.gog.com/en/game/the_silent_age
The Suffering,$2.49,-75%,https://www.gog.com/en/game/the_suffering
XIII - Remake,$11.09,-63%,https://www.gog.com/en/game/xiii_remake
"Warhammer 40,000: Space Marine",$39.99,0%,https://www.gog.com/en/game/warhammer_40000_space_marine
SWAT 4: Gold Edition,$9.99,0%,https://www.gog.com/en/game/swat_4_gold_edition
FAR: Lone Sails,$2.99,-80%,https://www.gog.com/en/game/far_lone_sails
No Man's Sky,$29.99,-50%,https://www.gog.com/en/game/no_mans_sky
Don't Starve,$2.49,-75%,https://www.gog.com/en/game/dont_starve
Amnesia: The Dark Descent,$2.99,-85%,https://www.gog.com/en/game/amnesia_the_dark_descent
Avencast: Rise of the Mage,$0.99,-80%,https://www.gog.com/en/game/avencast_rise_of_the_mage
Gibbous - A Cthulhu Adventure Deluxe Edition,$3.74,-85%,https://www.gog.com/en/game/gibbous_a_cthulhu_adventure_deluxe_edition
Warhammer Quest 2: The End Times,$19.99,0%,https://www.gog.com/en/game/warhammer_quest_2_the_end_times
Mordheim: City of the Damned,$19.99,0%,https://www.gog.com/en/game/mordheim_city_of_the_damned
Neverwinter Nights 2 Complete,$19.99,0%,https://www.gog.com/en/game/neverwinter_nights_2_complete
El Matador,$0.79,-80%,https://www.gog.com/en/game/el_matador
POSTAL 2,$0.99,-90%,https://www.gog.com/en/game/postal_2
METAL GEAR SOLID,$9.99,0%,https://www.gog.com/en/game/metal_gear_solid
Warcraft II Battle.net Edition,$9.99,0%,https://www.gog.com/en/game/warcraft_2_battlenet_edition
Streets of Rogue,$4.99,-75%,https://www.gog.com/en/game/streets_of_rogue
Trüberbrook,$3.59,-88%,https://www.gog.com/en/game/truberbrook
Space Hulk: Deathwing - Enhanced Edition,$29.99,0%,https://www.gog.com/en/game/space_hulk_deathwing_enhanced_edition
EVERSPACE™,$2.99,-90%,https://www.gog.com/en/game/everspace
The Witcher 3: Wild Hunt - Complete Edition,$49.99,0%,https://www.gog.com/en/game/the_witcher_3_wild_hunt_game_of_the_year_edition
Warhammer Quest Deluxe,$17.99,0%,https://www.gog.com/en/game/warhammer_quest
Warhammer: Shadow of the Horned Rat,$5.99,0%,https://www.gog.com/en/game/warhammer_shadow_of_the_horned_rat
Mortal Shell - Digital Deluxe Edition,$9.44,-70%,https://www.gog.com/en/game/mortal_shell_digital_deluxe_edition
Being a DIK: Season 1 & 2 + Guide Bundle,$30.47,-27%,https://www.gog.com/en/game/being_a_dik_season_1_2_guide_bundle
Dorfromantik,$9.79,-30%,https://www.gog.com/en/game/dorfromantik
Cyberpunk 2077,$59.99,0%,https://www.gog.com/en/game/cyberpunk_2077
Kingdom: New Lands Royal Edition,$1.79,-90%,https://www.gog.com/en/game/kingdom_new_lands_royal_edition
Postal 2: Paradise Lost,$0.59,-90%,https://www.gog.com/en/game/postal_2_paradise_lost
"Warhammer 40,000: Armageddon",$39.99,0%,https://www.gog.com/en/game/warhammer_40000_armageddon
